code;nr;gebied;gebiednaam;provincie;WOZ;stedelijkheid;OAD;ligging;abw_totaal;abw_vrijst;abw_tweekap;abw_rijwoni;abw_meergez_laagb;abw_meergez_hoogb;abw_koop;abw_soc_huur;abw_part_huur;abw_1_pers;abw_2_pers;abw_3_pers;aapbw_totaal;aapbw_koop_vrijst;aapbw_koop_tweekap;aapbw_koop_rijwoni;aapbw_koop_meergez_laagb;aapbw_koop_meergez_hoogb;aapbw_soc_huur_vrijst;aapbw_soc_huur_tweekap;aapbw_soc_huur_rijwoni;aapbw_soc_huur_meergez_laagb;aapbw_soc_huur_meergez_hoogb;aapbw_part_huur_vrijst;aapbw_part_huur_tweekap;aapbw_part_huur_rijwoni;aapbw_part_meergez_laagb;aapbw_part_meergez_hoogb
NL;1;Nederland;Nederland;;;2;2010;;7618900;13,9%;9,0%;43,4%;24,7%;9,0%;58,2%;29,6%;12,2%;34,1%;33,9%;32,0%;1,1;1,8;1,6;1,4;1,0;0,9;0,9;1,0;0,9;0,5;0,5;1,4;1,1;1,0;0,6;0,6
GM0003;2;gemeente;Appingedam;;144;3;1066;;5700;19,8%;18,3%;34,7%;26,7%;0,4%;50,1%;42,9%;6,9%;38,8%;35,6%;25,7%;1,0;1,6;1,4;1,3;1,0;;;0,8;0,8;0,4;0,9;1,0;1,0;1,0;0,3;
GM0010;3;gemeente;Delfzijl;;127;4;678;;11400;29,4%;14,4%;37,5%;12,1%;6,7%;63,8%;27,5%;8,7%;35,9%;37,1%;27,0%;1,2;1,7;1,4;1,3;0,8;1,1;;0,8;0,7;0,3;0,4;2,0;1,0;0,8;0,5;0,5
GM0014;4;gemeente;Groningen;;;1;3267;;113700;5,6%;5,5%;30,6%;45,7%;12,7%;42,1%;33,8%;24,1%;46,0%;29,9%;24,1%;0,8;1,7;1,4;1,2;0,9;0,9;0,6;0,8;0,7;0,4;0,4;1,3;1,0;0,7;0,4;0,4
GM0024;5;gemeente;Loppersum;;154;5;214;;4400;57,1%;17,0%;18,9%;7,0%;0,0%;68,3%;27,1%;4,5%;32,9%;38,8%;28,3%;1,4;1,7;1,5;1,4;;;;0,8;0,8;0,3;;1,4;1,5;1,0;0,9;
GM0034;6;gemeente;Almere;;219;2;1613;;84200;6,2%;3,0%;63,9%;22,2%;4,8%;64,6%;27,2%;8,2%;27,2%;31,1%;41,6%;1,2;1,8;1,7;1,4;1,0;1,1;;0,6;0,8;0,5;0,6;1,1;1,3;1,1;0,7;0,8
GM0037;7;gemeente;Stadskanaal;;161;4;836;;14600;35,0%;12,9%;32,6%;16,5%;3,0%;61,3%;30,8%;7,8%;35,0%;36,8%;28,1%;1,3;1,8;1,6;1,4;0,9;0,9;0,9;0,9;0,7;0,5;0,5;1,2;1,1;1,0;0,4;0,7
GM0047;8;gemeente;Veendam;;143;3;1002;;12500;28,2%;15,0%;37,4%;15,5%;3,8%;65,8%;24,7%;9,5%;33,5%;37,3%;29,2%;1,2;1,8;1,5;1,4;1,1;0,9;0,9;0,7;0,7;0,5;0,3;1,2;0,9;0,9;0,7;0,7
GM0050;9;gemeente;Zeewolde;;254;4;810;;8900;12,0%;7,9%;66,7%;12,8%;0,6%;70,7%;23,1%;6,2%;24,5%;34,7%;40,8%;1,5;2,1;1,9;1,7;1,2;1,3;;;1,0;0,6;;1,5;1,2;1,3;1,1;
GM0059;10;gemeente;Achtkarspelen;;181;5;427;;11900;45,4%;15,4%;29,1%;10,1%;0,0%;64,1%;31,0%;4,9%;30,8%;34,7%;34,5%;1,4;1,8;1,6;1,4;1,1;;1,2;1,1;0,9;0,4;;1,4;1,3;1,0;0,6;
